,text,label
16257,"A Nightmare on Elm Street: The Dream Child, the fifth installment in the Nightmare on Elm Street series and the worst sequel ever in the series, even worse than A Nightmare on Elm Street 2. I was lucky enough to get the Nightmare on Elm Street DVD box set for my birthday and I watched all the sequels. The dream child was the worst without a doubt, I was surprised too since they were doing so well with the last two sequels. But I guess they just lost the charm, the story was just ridicules and I wasn't happy with where it went. Alice just became more annoying, she's not Nancy or Kirsten, so her carrying this film on her own didn't work for me. Freddy is also loosing his scare, this was just getting a bit silly.<br /><br />Alice is back and she's carrying a child, she couldn't be happier with her life. But Freddy is also back and he's not going to be too light on her since she defeated him so easily in the fourth movie. But anyways, he wants her child and to be born into the world again. Did you ever wonder if Freddy had parents too? Well that's what A Nightmare on Elm Street: The Dream Child investigates and Alice soon finds out what Freddy's childhood was like and that maybe that's the one thing that can defeat him.<br /><br />A Nightmare on Elm Street: The Dream Child is just all in all a bad movie and an insult to the series. I don't think anyone could be happy with this sequel. Just the story was really silly, I mean it could have possibly worked, but once again, it was just executed the wrong way. I know that if you're looking to see the sequels for the Nightmare on Elm Street series, you should watch it, but I really wouldn't recommend it, it's not worth it, at least in my opinion.<br /><br />3/10",0
6001,"Ludicrous violations of the most basic security regs are only the beginning. It's hard to see how they achieved such abysmal trash on such a low budget. I turned it off once, then got curious to see if it could get any worse. It did.",0
34141,"as can be read in many reviews here it is a movie you love or hate - apparently not so much space for opinions in between. I for one think that is a good sign. <br /><br />I always appreciated this movie, although the genre is not my typical style (I never watched Titanic for instance, and am not planning to).<br /><br />The English Patient grips because it shows how people can be different when they are in an exotic environment as opposed when they are 'home' (Katherine), it shows how destructive love can be in a slow, strong and utterly painful way, it excites because of the extremely passionate affair, the pain of the one(s) who leave behind, how pointless one can feel to move on. <br /><br />The photography is just stunning, not to mention the play of the actors. The pace is slow, but timely, and that does justice to the book, the timeline, and the depth/development of the characters. To put this in 110 minutes (as some seem to suggest here) would amputate the multi-layeredness of this movie. People tend to have difficulties with the pace of movies... as if they are in a rush to get to work.. hey - get a life ! ;-) enjoy...<br /><br />I give this movie 4.5 out of 5.",1
16261,"This movie is another Christian propaganda film in the line of The Omega Code. Not that that is necessarily bad but for the fact that most propaganda films sacrifice sincerity and realism for the message they wish to deliver. If you enjoy a styrofoam portrayal of life on the streets and the way the Gospel can change a life, than perhaps you may enjoy this movie. I say, save your money and rent The Cross and The Switchblade or The Mission. When will Christian directors learn that sometimes people say bad words? It was frustrating to see criminals depicted who are not allowed to swear (huh? criminals say bad words?) and flat characters I really could not relate to. Also, it would've been great if the movie had shown some T&A. Now that would be something I'd like to pay to see. Who was the blockhead who compared this communion wafer-thin story of a movie with The Boondock Saints and The Sting?",0
25097,"Dire beyond belief. Obviously set on the Isle of Man masquerading as the US - very badly - and full of cut-rate British actors who can't do American accents. A monster that looks like an unarticulated promotional cut-out for Alien from a movie store, with the most inflexible feet ever seen. Girls in the shower, undressing, catfighting, blah, blah, blah. You get the idea. Don't watch it, run away, hide, AVOID.",0
27380,"In 1937 Darryl Zanuck, who had recently moved from head of production at Warner Brothers, was trying to get his newly created company, 20th Century Fox off the ground and on a level playing field with his old bosses at Warners and the glitter palace at MGM. ""This Is My Affair"" was an attempt to cash in on the current success of historical films set around the turn of the century (""San Francisco"" ""In Old Chicago"")and in retrospect he succeeded quite mightily. The plot is fascinating. A trouble maker but heroic naval officer (Robert Taylor) is given a secret assignment by President McKinley to uncover a ring of bank robbers that are paralyzing American finance. He finds the gang but falls in love with their female mascot (Barbara Stanwyck) and must decide between love and duty.<br /><br />Not everything about this vintage film works well, but overall it is a good slice of studio film-making. The plot gimmick would be borrowed by Kurt Vonnegut for ""Mother Night"" (the lead role of that film of the book was played brilliantly by Nick Nolte) and seems quite believable, at least within the confides of studio make believe. As a fan of old movies I am always thrilled when I stumble upon one that I have never seen and ""This is my Affair"" was no exception.",1
45472,"I don't usually like to see movies while they're still in theaters because of high ticket prices but I saw a poster for Some Things That Stay and I thought, ""that young actress looks intelligent and mysterious, not like the usual blonde teenybopper BS"". So I decided to take the plunge and see this movie on it's opening night. <br /><br />I must tell you, I was happily surprised. I went to this film with no expectations. I didn't really know what it would be about, but the raw emotion and honest teenage experiences expressed by Katie Boland left me feeling rather satisfied with my decision. Alberta Watson also did a fantastic job as the role of Tamara's disease-stricken mother and I must also add that I was quite impressed with the comedic stylings of Megan Park as Tamara's friend Brenda. <br /><br />The film was wonderfully directed by Gail Harvey, and pulled together in the kind of kitschy 50's way that leaves you feeling warm and happy, even if the storyline tended not to be so uplifting. I also thought that the film was well-shot, many beautiful images of a 1950's countryside will remain in my mind for weeks to come. <br /><br />This film as a whole was quirky and great. I found it to be unpredictable and although the story ends in a somewhat open-ended way, I was still left satisfied. Whether you are looking for a fun, yet powerful coming-of-age story, or simply want to reminisce about life in the 1950's, I guarantee this film is for you. Even if you have no expectations, it is still quite likely that you will be most impressed. Give this one a shot!",1
4195,"DOUBLE EXPOSURE was a tremendous surprise. It contains outstanding acting (particularly from the underrated Callan), fine cinematography and a compelling storyline. In other words, it's one of the finest horror efforts to emerge from the 1980s.<br /><br />Callan plays a fashion photographer who experiences dreams of murdering his models, at a time when he is reunited with his psychologically volatile brother (who happens to be missing an arm and a leg). When the models Callan dreams about killing actually turn up dead, the photographer begins to doubt his own sanity... but there is more to the picture than he is seeing.<br /><br />This film never received the praise it deserves. Most critics and filmgoers lump it in with the horde of slasher films released at the same time, but it stands high above the bulk of that sorry lot. It's clever and unique, which isn't something one can comfortably say about most films of this genre, but it's also passionately crafted and performed. DOUBLE EXPOSURE is a gem of its kind.",1
46434,"This movie was rented for free, I had no misconception about this being a very bad movie. I rented it for Thanksgiving because we eat turkey and then the family watches an awful movie. So you ask, what makes this movie so bad you gave it only 2 stars? Dialog. The lack of dialog makes this a movie perfect for a deaf audience. In fact if you rent this, just turn the volume down to zero and pop in any heavy metal CD from your favorite artist. I know you will enjoy it better. The plot of this holiday turkey was so encumbered with tech and geek speak you need a translator for the narrative. Now for all you people who enjoy good sci-fi effects... eh, they are not much better than video game trailers or cut scenes in cases worse. The actors, um both of them, are not much to look at either. They say nothing much through out the entire movie. Many of the technical aspects will make you laugh like the scene where the hero straps herself to a missile and fires it at the city 70km away (it never showed how she landed). The scene before that we see a robotic sentry fire at her with a cannon from 12 feet away and he misses multiple shots. Also we are told that the political division between the antagonist and protagonist is bio-tech (genetically enhanced humans) vs cyber-tech (machine enhanced humans) but both seem to be cyborgs or enhanced humans. What told me this was a bad movie at the rental store was the cover that looked like a video game cover art and there was only the one copy, good new releases have many copies available.",0
28393,"I saw the MST3K version of this film and it is a bad movie - but its not nearly as bad as its low IMDB rating (currently 1.8 out of 10). At least the movie has a few production values and it apparently had a competent editor (unlike the movies that truly are awful). The primary problem with this movie is that it had no appealing characters whatsoever. The main character, Marv, is so pathetically morose, that he practically asks for all the bad stuff that happens to him. And he isn't very smart either, or he would have figured out to stay away from the conniving girl Betty. And even more pathetic than Marv is his father, who is nothing but a drunken loser. The highlight of the film is the heist sequence at the end but even that is so weakly executed, any excitement it might have added to the film is completely missing. At least this movie made for a very funny MST3K episode, as Mike and the 'Bots do a great job making fun of it.",0
16523,"This movie took me by complete surprise. I watched it 2 or 3 times. I really liked this film. There were many truths this movie brought up. I love all the characters in this film as well. This movie makes a lot of sense because as society ""becomes more advance"" What does the culture loose? Not to sound preachy. I can really relate to this movie from my child hood and loosing apart of my life that will never come back or ever been the same. This film is on my top 5 movies I have ever watched. There is just such a raw truth that I feel when I watch the movie and its not the kind of truth that you have to dig for its right in front of your face. The creators of this film did a great job and I enjoyed this movie very much. This movie may not be for every one but if you have an open mind I think you will love it.",1
31381,"Not many television shows appeal to quite as many different kinds of fans like Farscape does...I know youngsters and 30/40+ years old;fans both Male and Female in as many different countries as you can think of that just adore this T.V miniseries. It has elements that can be found in almost every other show on T.V, character driven drama that could be from an Australian soap opera; yet in the same episode it has science fact & fiction that would give even the hardiest ""Trekkie"" a run for his money in the brainbender stakes! Wormhole theory, Time Travel in true equational form...Magnificent. It embraces cultures from all over the map as the possibilities are endless having multiple stars and therefore thousands of planets to choose from.<br /><br />With such a broad scope; it would be expected that nothing would be able to keep up the illusion for long, but here is where ""Farscape"" really comes into it's own element...It succeeds where all others have failed, especially the likes of Star Trek (a universe with practically zero Kaos element!) They ran out of ideas pretty quickly + kept rehashing them! Over the course of 4 seasons they manage to keep the audience's attention using good continuity and constant character evolution with multiple threads to every episode with unique personal touches to camera that are specific to certain character groups within the whole. This structure allows for an extremely large area of subject matter as loyalties are forged and broken in many ways on many many issues. I happened to see the pilot (Premiere) in passing and just had to keep tuning in after that to see if Crichton would ever ""Get the girl"", after seeing them all on television I was delighted to see them available on DVD & I have to admit that it was the only thing that kept me sane whilst I had to do a 12 hour night shift and developed chronic insomnia...Farscape was the only thing to get me through those extremely long nights...<br /><br />Do yourself a favour; Watch the pilot and see what I mean...<br /><br />Farscape Comet",1
47962,"One would think that with the incredible backdrop of WWII Stalingrad that the writers would come up with a script. Nope. There is NO story here! It's like porn, vignettes of violence interrupted by pathetic, rote, and meaningless dialogue.<br /><br />A bunch of Germans march around shooting and getting shot. Slowly there are fewer Germans to march around, shoot, and get shot. Then there are no Germans to march around, shoot, and get shot.<br /><br />Pretty bad.<br /><br />Chilcoot",0
