,text,label
38122,"Lovely Candace Bergen as the widow Perdicaris are kidnapped and held for ransom by the Sheik Raisuli played by one dashing Sean Connery. The incident comes during 1904 as Theodore Roosevelt runs for election to the presidency in his own right. Needing a good example to show off the muscular foreign policy of the United States, Brian Keith as Roosevelt issues a stunning declaration to the Sultan of Morocco, ""Perdicaris alive or Raisuli dead.""<br /><br />But in this adaptation of that incident the famous declaration is the only true thing about this story. The Perdicaris in question was in reality one Ion Perdicaris who was a Greek immigrant and dilettante playboy. In fact Perdicaris gave up his American citizenship years ago and was back as a Greek national. Never mind that though, his predicament was serviceable enough at the time.<br /><br />The damsel in distress makes better screen material though so it's a widow woman and her two kids that are in harm's way here. Of course as presented here the incident is also used by some of our European powers to get their foothold into Morocco. The intrigues get far beyond one brigand's demand for ransom.<br /><br />The Wind and the Lion is hardly history. But it is an enjoyable film and Sean Connery is always fun to watch. Brian Keith also fits my conception of Theodore Roosevelt and the scenes in the Roosevelt White House do ring true to all the stories told. John Huston plays the ever patient Secretary of State John Hay who Roosevelt had inherited from his predecessor William McKinley.<br /><br />But kids don't use this film to skip reading a history assignment on the Theodore Roosevelt era.",1
20865,"This has to be one of the best comedies on the television at the moment. It takes the sugary-sweet idea of a show revolving around a close family and turns it into a quite realistic yet funny depiction of a typical family complete with sibling and parent spats, brat brothers, over-protective fathers and bimbo sisters. I'm almost surprised it's Disney!<br /><br />To its credit, '8 Simple Rules' knows it's a comedy and doesn't try to be more. Too many shows (eg, 'Sister, Sister' and 'Lizzie McGuire') think just because its lead characters are now teenagers then they should tackle social issues and end up losing their humour by being too hard-hitting. This is a trap '8 Simple Rules' has avoided; it does tackle some issues (such as being the school outcast) but it has fun while doing so. In fact the only time it has really been serious was understandably when it sensitively handled the tragic death of John Ritter and his character.<br /><br />And I think, although John Ritter will be sadly missed since he was the reason the show made its mark, '8 Simple Rules' can still do well if it remembers its humour and doesn't make Cate's father a second version of Paul Hennessy.",1
41725,"I had the pleasure of witnessing this brilliant film at a preview screening in Sydney. Although it was a pleasure to see it. Pleasure is not the emotion you are left with as the credits roll.<br /><br />2:37 is a film that tackles not just one stigma felt by young individuals but all of them. Chief of which is isolation. It is not just to place the films final galvanising scene on a pedestal above the others, but rather it is important to see it as the culmination. And from that, it is important to realise what it represents to both you as the viewer and to the people directly effected by it.<br /><br />2:37 is not a soft picture but the manner in which Mr Thalluri handles it's subject matter with a profound dignity and it's no holds barred approach acts as credit to it's message.<br /><br />I do not believe films such as 2:37 should be scaled by votes of favour. Rather it should be recommended to those looking for purpose in their viewing.<br /><br />A brilliantly crafted portrait of innocence lost. And a master stroke for a as of yet untaped talent.<br /><br />Not to be missed.",1
3307,"I am currently sitting here, forcing myself to finish this. I figure I blew 6 bux on the VHS, might as well suffer for it. I remember about 4 or 5 years ago doing a search on the internet for ""War of the Worlds"" cause of the rumors of the Spielberg movie at the time, and I missed the old TV series from the early 90's. The website make it out that this was a multi-million dollar budget rendition of the classic book. It was going to be a ""perfect translation"". Perfect CRAP is more in tune with this film.<br /><br />First off, the video on this movie was glitched! It looked as if I was watching the Full Motion Video from an old mid-90's PC or Playstation CD-Rom video game. Sadly enough, the color quality was similar. The acting made Shatners classic ""dramatic pause"" look damn near Shakespearean in quality. The CG rendering of various scenes was horrendous, and green screen sequences were worse than those seen in old Dukes of Hazardd scenes.<br /><br />Secondly, it is slow and terribly drawn out. I sat thru 45 minutes of the video (no promo's at the beginning) before the cylinder actually Opened to reveal the first alien. After that, the alien was a terribly constructed CG squid. I am now an hour into it and the most of the alien weaponry I have seen is a spinning silver disk (crappy down even) attached to a mechanical arm. The dramatic scenes are murdered with overly done instrumental's. The last thing on that, for an alien invasion in the turn of the century 1900's NO ONE is concerned for their life. It's like they have no concept. Even though media was slow, word of mouth spreads fast and people would have known. The ""illusion"" of day and night was shoddy at best. Simply changing the color around the people to purple, blue or green does not signify NIGHT TIME. Perhaps some lighting and actual night time shoots would have given a MUCH better illusion. THere is a lot of wasted sequences throughout the film of just watching the ""hero"" gallop around or walk down silly roads. Get on with the film. I know how people get around, you do NOT need to be so in-depth.<br /><br />Now, finally an hour and 5 minutes into the film and they show the alien machines. Mighty Morphin Power Rangers had better looking effects. Even the skeletons of vaporized humans looked as if animated by a freshman high school computer app class student. The animations do NOT match up to the scenery at all.<br /><br />In closing folks, if you want ""The War of the Worlds"", do one of four things. 1) Watch the 1953 original, 2) watch the early 90's TV series, 3) wait for Spielberg's rendition to be released shortly, OR 4) Read the frikkin book (something we all probably did in elementary English class). AVOID THIS MOVIE. IT IS A WASTE OF YOUR MONEY.",0
6595,"I remember watching ""Lost Missile"" (actually throwing a fit until my brother and several cousins at whose home I was an overnight guest agreed to watch it with me - I was, from time to time, the Eric Cartman of the 1960s - sorry, guys) and being somewhat embarrassed when the sustained wave of million-degree heat emerged as a plot device - even as a second-grader I knew that a mere missile just couldn't carry the energy around for that much heat or devastation over more than the duration and limited radius of a nuclear detonation. <br /><br />My inflicting that turkey on loving relatives was a self-punishing crime.<br /><br />The film's production values were very good. The acting isn't bad (apart from the Shatnerism of the actor who played governor's aide that someone else here mentioned).<br /><br />But the idea of a missile Easy-Baking the surface of the Earth by means of the heat of its exhaust... no.<br /><br />How'd the people at ""Mystery Science Theater 3000"" miss ""The Lost Missile,"" anyway? <br /><br />It's a great classic of unintentional comedy - watch it if you want something to drink beer to some weekend.",0
40945,"I was given a DVD of Public Enemies and was expecting it to be the 2009 version but it wasn't - it was this! Sure, it wasn't the greatest movie I have ever seen - not by ANY means - but, heck folks, it was worth more that 2.8 out of 10! When I saw that abysmal rating on IMDb, I wondered what I was going to get but, since the disc was in the player, I settled down to watch it. As other commentators have pointed out, Public Enemies is NOT a historical movie per-se - and I noted that, unlike the 2009 version (which I haven't seen yet) IMDb doesn't categorise it as such.<br /><br />Come on people! It's a STORY based on some real people - that's all! If I wanted a history lesson, I'd sit at this computer and read Wikipedia or something. Ma Barker (actual name Arizona - or Arrie - Barker) was NEVER even charged with any crime and, as other commentators have already pointed out, she probably never even took part in her sons' activities. They sent her to the movies when they were ""working""! (I hope she wasn't as critical as some of those who watched this movie!) <br /><br />Theresa Russell had the never-too-easy task of portraying a woman from the age of 17 right through to her death at the age of 52 - from a young girl running from home to the hardened mother of four hoodlum sons. I think she did it pretty well. The cheeky little smile she used in more than one scene was classical! OK, I will agree with some of the critics that the direction of this film was below par and I sympathise with the actors over that. Theresa should have told the director to forget the topless shots - they didn't contribute to the story. Maybe some bigger-name stars would have managed to inject some of their own expertise into overriding the poor direction whereas the second-graders weren't quite that brave. Who knows? <br /><br />But, whilst this was certainly no block-buster, it WAS worth more than 2.8!! I have all my DVDs on a personal database where I score them BEFORE looking at the IMDb score (although that sometimes influences slight changes later). I take what I get on it's own merits rather than holding one movie up against others of the same genre and this one I felt was entertaining enough to get 6.8. (Yep, I'll accept that such a practice does tend to depend on my mood at the time, but then isn't that also true of those who vote on IMDb?) However, you may imagine my surprise when I looked at IMDb and saw the pitiful score it got here.<br /><br />Given the surprise, I decided to read a few of the other comments in the hopes of understanding the low rating and I noticed that they are quite polarised. I agreed with those who said the movie was worth watching and came to the conclusion that some people are just hard to please. Well, since some were absolutely scathing, why don't THEY get out there and make some better movies? I will look forward to the gems they must be able to turn out! On the other hand, if they can't do that, then why don't they just shut up?",1
23443,"Having not seen this film in about 20 years I am still impressed with it 's hard -hitting impact and stellar acting. Of course, one Mr. Mickey Rooney is indeed, INCREDIBLE in his role as the ring-leading ""Killer"".(In reference to another review here-none other than Orson Welles evoked Mickey Rooney's name as the greatest movie actor,also.) I also recall the jazzy-brassy score and the bare black and white photography. I love the Mick's last line before he goes out for his dose of lead poisoning.(I think the Stranglers lifted it for a line in one of their songs-Get a Grip on Yourself.)This is a great film and unjustly buried film. Let's get it out ! Side note-a recent Film Review magazine gave a big write up on Don Segal's ""Babyface Nelson"" ,made a couple years before ""Last Mile"" and also starring Mickey Rooney. Another rave of the Mick's intense and sympathetic performance.Perhaps it's the start of a groundswell of a appreciation for some truly superior cinematic performances.",1
3061,"Naturally I didn't watch 'GI Jane' out of choice. I was more or less forced to watch this film round my ex-girlfriends house.<br /><br />GI Jane loses its credibility straight away by trying to convince the viewer that it is potentially a real scenario, which of course it isn't. The result of this is that the story becomes automatically bound by constraints, restricting the amount of humour (of which there is none) or entertaining action scenes, and soon becomes too serious. The film therefore becomes extremely boring and predictable.<br /><br />'GI Jane' fails where other action films succeed, mainly because films such as James Bond, Dirty Harry and various others are larger than life, yet never proclaim to be otherwise. They are escapism, and therefore entertaining. 'GI Jane' tries to be real and fails.<br /><br />This is a very disappointing film from Ridley Scott, with a very non-credible storyline, unremarkable acting, and the only reason I give it 2/10 instead of 1/10 is for some of the technical work.",0
5449,"I have to be honest and say I bought this movie, not because of the content, but because David Cubitt is in it; I know ... shallow, or what? - but, come on, Mr Cubitt is a fantastic actor to put it mildly.<br /><br />I really didn't know what to expect from watching this movie, I'd read the other write up, and those on other sites but I have to say I was drawn into the world of the brothers almost from the get go. David Cubitt as Theo, and Colm Feore as Ryan are so believable as the two estranged brothers, the film moves through their relationship as they start to try getting to know each other again after their fathers death. The scene where Theo finds out Ryan is gay was played brilliantly, he literally walks in on a scene and tries to leave without Ryan noticing - which of course he has.<br /><br />The film has been very well researched and is therefore incredibly sad, moving, uplifting and a celebration of life in parts. I came away from this feeling sad at what Ryan went through but also with the knowledge that he was given hope and unconditional love by the ex drug addict brother Theo. I agree with the other reviewer who finds the scene where Theo says he will be a father moving, and I'd go a little further to say I actually vocalised my thoughts at Ryan when he cruelly says to Theo 'What makes you think you can be a father' and Theo says simply 'You.' Theo walks away then, but that small exchange of dialogue speaks volumes to the almost self pitying aspect of Ryan who is brought up sharply by the simple retort.<br /><br />A brilliantly conceived movie on all counts, the acting, directing, writing etc are all so well done. I can't really find anything else to say about this movie, except to say that it is very hard dealing with the death of a loved one but this is done superbly, to the infinite degree. The respect for the subject matter and the outpouring of love (without being contrite and mawkish) speaks volumes in this rather selfish world we live in today. Well done to all concerned.<br /><br />Not many movies bring me to tears and give me pause to think about life in general, and also to be glad for all the things I have and not be sad for the things I don't, but this movie did, it was unbelievably uplifting considering the subject matter.",1
46024,"I got interested in this movie because somebody had made a beautiful video for Björks ""Bachelorette"" with clips from it. So I watched the movie. And it is indeed stuningly beautiful. A masterpiece of animation.<br /><br />Unfortunately, the story doesn't keep up. It starts out well, with interesting plotlines about people fencing for the possession of the Rose Bride, but suddenly elevators fill up with water and looses their walls, people float away, and finally for no reason whatsoever, Utena is tranformed into a car, and a highspeed chase ensues.<br /><br />I like much Anime for it's ability to make alternative universes, but this universe is just stupid. If you are gonna watch this movie, turn of the sound, it's better that way.",0
